Species	Status	min_age	max_age
Monetaria_moneta	extant	0.0117	2.58
Naria_erosa	extant	0.0117	2.58
Erronea_cylindrica	extinct	0.0117	2.58
Arestorides_argus	extant	0	0.0117
Monetaria_moneta	extant	0	0.0117
Cypraea_(Erosaria)_helvola	extant	2.58	5.333
Cypraea_(Staphylaea)_nucleus	extant	2.58	5.333
Erronea_(Cribraria)	extinct	2.58	5.333
Cypraea_(Erosaria)_helvola	extant	2.58	5.333
Cypraea_(Erosaria)_helvola	extant	11.63	15.98
Lyncina_carneola	extant	11.63	15.98
Luria_isabella	extant	0.0117	0.129
Mauritia_arabica	extant	0.0117	0.129
Arestorides_argus	extant	0.0117	0.129
Lyncina_carneola	extant	0.0117	0.129
Luria_isabella	extant	0.0117	0.129
Lyncina_carneola	extant	0.0117	0.129
Cypraea_(Erosaria)_helvola	extant	0.0117	0.129
Cypraea_(Lyncina)_lynx	extant	0.0117	0.129
Lyncina_carneola	extant	0.0117	0.129
Luria_isabella	extant	5.333	7.246
Cypraea_(Lyncina)_lynx	extant	5.333	7.246
Erosaria_everwijni	extinct	5.333	7.246
Ipsa_childreni	extant	5.333	7.246
Cypraea_(Erosaria)_helvola	extant	5.333	7.246
Cribrarula_cribraria	extant	2.58	5.333
Prozonarina_fabagina	extinct	7.246	11.63
Cypraea	extinct	15.98	20.45
Prozonarina_fabagina	extinct	13.82	15.98
Prozonarina_fabagina	extinct	15.98	20.45
Gisortia_gigantea	extinct	33.9	37.71
Gisortia_gigantea	extinct	33.9	37.71
Cypraeovula	extinct	33.9	37.71
Cypraea	extinct	33.9	37.71
Cypraea	extinct	12.8	13.82
Cypraea	extinct	12.8	13.82
Cypraea	extinct	12.8	13.82
Cypraea	extinct	12.8	13.82
Schilderia_flavicula	extinct	15.98	23.04
Gisortia_murchisoni	extinct	48.07	56
Cypraea	extinct	11.63	15.98
Cypraea	extinct	15.98	23.04
Cypraea	extinct	11.63	15.98
Cypraea	extinct	15.98	23.04
Pseudozonaria_raymondrobertsi	extinct	2.58	3.6
Zonaria_spurcoides	extinct	2.58	3.6
Muracypraea_caroniensis	extinct	2.58	3.6
Macrocypraea_cervus	extant	0.0117	0.129
Luria_voleki	extant	0.129	0.774
Macrocypraea_joanneae	extinct	0.129	0.774
Cypraea_(Macrocypraea)_spengleri	extant	0.129	0.774
Pseudozonaria_portelli	extant	0.129	0.774
Siphocypraea_problematica	extinct	0.774	2.58
Siphocypraea	extinct	7.246	11.63
Siphocypraea_griffini	extinct	0.774	2.58
Siphocypraea	extinct	7.246	11.63
Siphocypraea_problematica	extinct	0.774	3.6
Siphocypraea_philemoni	extinct	0.774	3.6
Siphocypraea_(Pahayokea)_josiai	extinct	0.774	3.6
Siphocypraea_problematica	extinct	0.774	2.58
Siphocypraea_(Okeechobea)_brantleyi	extinct	0.774	2.58
Siphocypraea_(Pahayokea)_aspenae	extinct	0.774	2.58
Siphocypraea_dimasi	extinct	0.0117	3.6
Siphocypraea_mulepenensis	extinct	0.0117	3.6
Akleistostoma_jenniferae	extinct	2.58	3.6
Akleistostoma_macbrideae	extinct	2.58	3.6
Calusacypraea_tequesta	extinct	2.58	3.6
Calusacypraea_(Myakkacypraea)_myakka	extinct	2.58	3.6
Siphocypraea_metae	extinct	2.58	3.6
Siphocypraea_(Pahayokea)_kissimmeensis	extinct	2.58	3.6
Akleistostoma_rilkoi	extinct	2.58	3.6
Calusacypraea_sarasotaensis	extinct	2.58	3.6
Calusacypraea_(Myakkacypraea)_kelleyi	extinct	2.58	3.6
Pseudadusta_kalafuti	extinct	2.58	3.6
Siphocypraea_cannoni	extinct	2.58	3.6
Siphocypraea_(Pahayokea)_parodizi	extinct	2.58	3.6
Akleistostoma_bairdi	extinct	2.58	3.6
Siphocypraea_(Pahayokea)_basingerensis	extinct	2.58	3.6
Calusacypraea_(Myakkacypraea)_schnireli	extinct	2.58	3.6
Pseudadusta_marilynae	extinct	2.58	3.6
